id;bac;cursus;salarie;tps_traj;PHYS0101;CHIM0101;BIOCH0101;ECO0102;BAV0101;GEOL0101;AN0101;METH0102;METH0103
1;S;SV;0;De 31 à 60 minutes;11;15,25;14,5;14,75;14,25;15;3,25;11,5;9,75
2;S;SVT;1;Plus de 61 minutes;9,5;6,75;2,25;8,25;7,5;9,25;6,25;12,75;13
3;S;SV;1;De 16 à 30 minutes;14;12,5;11,5;12,5;12;11,5;3;11,5;9,25
4;S;SVT;0;Moins de 15 minutes;11,5;17,75;12,5;9,75;10;11,5;7,75;13,25;14
5;S;SpS;0;De 16 à 30 minutes;13,75;14;14,25;12,75;10,75;5;13;13,25;14,25
6;S;SVT;1;Plus de 61 minutes;11,25;4;1,75;6,75;7;6,75;7,75;12,75;12,5
7;S;SVT;0;Moins de 15 minutes;15,25;11,5;9;15,25;13,5;15,5;0;15,25;15
8;S;SVT;1;De 16 à 30 minutes;17,5;11,25;11,25;15;12,75;15;0;15,25;13,75
9;S;SVT;1;De 31 à 60 minutes;6;3,75;1,25;9,75;8;9;6,5;8;10,25
10;S;SVT;0;De 16 à 30 minutes;18,75;7,5;9;12,25;12,75;12,5;0,75;18,5;17
11;S;SpS;0;De 16 à 30 minutes;10;10,75;10;13,25;7,75;15;4;9;9,25
12;S;SVT;0;Moins de 15 minutes;11,5;13,5;11,25;11,25;11;12;4,5;10,75;12,25
13;S;SV;0;Plus de 61 minutes;10,75;9,5;9,25;7,25;7,5;8,25;0;9;9
14;S;SV;1;Moins de 15 minutes;14;14,75;13;8,75;8,5;9,75;9;14;13,25
15;S;SVT;0;De 16 à 30 minutes;15,5;16,5;13;15;13,5;15;18,5;15,75;16,75
16;S;SpS;0;Moins de 15 minutes;11,75;12,75;11,5;20;10;2,25;10;13,75;12,5
17;S;SV;0;Moins de 15 minutes;12,25;18,5;17,25;13,5;13,25;13;20;11,75;11,5
18;S;SVT;1;De 16 à 30 minutes;10,5;11;12;12,75;12;13;18,75;11;11,25
19;ST2S;SpS;1;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;S;SpS;1;De 16 à 30 minutes;12;11,75;12;10,25;12;10,5;0;9,75;9,5
21;S;SV;1;De 16 à 30 minutes;10,75;20;17,5;10,75;10,5;11,25;0;9,25;7,5
22;S;SV;1;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;S;SpS;0;De 16 à 30 minutes;12,25;13,25;12;11,25;7,75;9,25;13,75;11,5;12
24;S;SpS;0;De 16 à 30 minutes;6,25;9;10;9,25;4,25;9;0;7;6
25;S;SpS;0;De 16 à 30 minutes;11;12;12,5;3;11;13;20;10,25;10,5
26;S;SV;0;De 16 à 30 minutes;12,75;14,75;13;14;13,5;14,25;11;11;10,25
27;S;SV;0;Moins de 15 minutes;18,5;18,5;17;19,25;17;17,75;20;15,75;14,5
28;ST2S;SpS;1;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;S;SVT;0;De 31 à 60 minutes;13,75;11,5;7,5;12,25;11,5;12,75;20;14,25;13,25
30;S;SVT;1;Moins de 15 minutes;8,5;1,25;5;6;6,75;8;4;9;9,25
31;S;SV;0;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;S;SVT;0;Plus de 61 minutes;15,5;11,5;9;9,25;9,25;10,75;7,5;15,25;13,75
33;S;SVT;0;Moins de 15 minutes;17,25;13,75;8;16,5;16;15,75;10,25;17,25;17,5
34;S;SV;0;De 16 à 30 minutes;17,25;15;14,75;10,5;10,5;10,25;11,25;14,5;13
35;S;SV;0;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;S;SV;0;De 31 à 60 minutes;16;8;8,5;14,75;12,5;15;0;13,25;13,5
37;S;SVT;1;De 16 à 30 minutes;18,25;16,25;10,75;15,25;14,75;13;7,75;18,75;16
38;S;SV;1;De 16 à 30 minutes;13,25;13,5;12,25;13;11,75;12,5;13,75;12;12,25
39;S;SVT;0;De 16 à 30 minutes;12;13,25;11,5;10,25;10;9,75;4,25;12,5;12,75
40;S;SpS;0;Plus de 61 minutes;14,25;14,5;12,75;6;10,5;4,25;10,75;14,25;11,5
41;S;SV;1;Moins de 15 minutes;16,25;14;13,25;4,5;5;6;9,5;14;11,75
42;S;SV;0;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;S;SVT;1;De 16 à 30 minutes;19,75;7;9,75;11,75;11,5;11;0,75;17,75;15,5
44;S;SpS;0;De 31 à 60 minutes;8,75;11,25;10,5;6;8,75;4;4,75;9,5;7,75
45;S;SV;1;Plus de 61 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;S;SpS;1;De 31 à 60 minutes;0;0;1,75;0;2;0;0;0,5;2,25
47;S;SpS;1;Plus de 61 minutes;8;9,25;7,75;2,25;0;9,25;5,5;5,5;3
48;S;SV;0;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;S;SV;1;Moins de 15 minutes;11,25;11,25;11;12,75;12,25;12,25;8,75;11;10,25
50;S;SV;1;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;S;SV;0;De 16 à 30 minutes;17,25;13;12;11;11,75;11;6,75;16;15,5
52;S;SV;1;Moins de 15 minutes;9,75;9,25;9,5;15;13,75;15,75;14;7;7,25
53;S;SV;1;De 31 à 60 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;L;SVT;1;De 16 à 30 minutes;6;8,25;10,5;9,5;8,75;11,5;12,5;8,75;10
55;S;SVT;1;Moins de 15 minutes;7,25;12,75;10;11;10;10,75;8;7;6,75
56;ST2S;SVT;0;De 31 à 60 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;S;SV;0;De 16 à 30 minutes;12;11,25;11,25;8,75;9;9,25;1,75;10,75;9,5
58;S;SV;0;De 16 à 30 minutes;19;15,75;15,25;16,25;14,75;16,5;3,75;17,5;15,75
59;S;SV;0;De 31 à 60 minutes;16,75;19;17,25;15,75;13;15;3,5;16,25;12,75
60;S;SV;0;De 31 à 60 minutes;11,75;11,75;11;14,25;13,25;13,25;0;10,5;8,75
61;S;SV;1;De 16 à 30 minutes;15,25;8,5;9;9,75;8,75;10,25;15,25;11,25;10
62;S;SV;0;Moins de 15 minutes;17,75;13;13,25;12,5;12;13;11,75;16,25;13,25
63;S;SV;1;De 16 à 30 minutes;14;10,5;9,75;9,25;9;9;0;12;9
64;S;SpS;1;De 16 à 30 minutes;12,75;12,75;12,5;0,5;10,25;9,25;8,25;12,5;12
65;S;SpS;1;Moins de 15 minutes;16,75;15,25;13;13,25;11,25;3,75;13;15,25;15,5
66;S;SVT;1;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;S;SpS;1;Plus de 61 minutes;6,5;3,75;5,5;4,25;3,75;8,75;2;4;5,75
68;S;SVT;0;Moins de 15 minutes;17,75;10,5;9,75;18,75;17,5;17,75;0;16,25;15,5
69;S;SV;1;De 31 à 60 minutes;5,5;3,25;4,25;10,25;8,5;10,25;20;4;3,25
70;S;SV;1;Plus de 61 minutes;12;9;9;6;6;5;20;10;9,25
71;S;SVT;1;De 31 à 60 minutes;11,75;6,25;2,75;15,5;13,25;15;3;15,5;14,25
72;S;SpS;1;De 31 à 60 minutes;12,75;12;9,5;6,5;3;12;10,5;11,25;12,5
73;ST2S;SVT;0;De 31 à 60 minutes;17;11;9,75;15,75;15;14,75;17,5;17,5;15,25
74;ES;SpS;1;Moins de 15 minutes;12,25;13,5;14;13;0;6,75;13;13,75;12,25
75;S;SV;0;Plus de 61 minutes;13,75;9,25;9;12;11,25;11,5;0;13,5;12
76;S;SV;1;De 16 à 30 minutes;16;10;9,5;6,5;8,5;7;8,5;14,25;13,75
77;S;SVT;0;De 31 à 60 minutes;17,75;9,25;6;14,25;13,5;14;11,75;15,25;13,5
78;S;SV;1;De 31 à 60 minutes;14;10,75;8,5;11,5;10,25;12;0;10,25;8,5
79;S;SpS;0;De 16 à 30 minutes;9;11;10,75;11,5;4,25;13,25;9,25;8,25;10,75
80;S;SV;0;Moins de 15 minutes;14,5;20;17;14;12,5;12,75;3,75;14;12,75
81;S;SVT;1;De 16 à 30 minutes;20;14,25;10;19,25;16,5;17,5;1,5;18,5;15,25
82;S;SpS;1;De 16 à 30 minutes;9,25;10,75;12,25;16,75;10,5;7,25;7,75;8;8,5
83;S;SpS;0;De 16 à 30 minutes;15,75;15,25;14,25;11,5;13;8,5;2,5;13,25;11,75
84;S;SVT;0;De 31 à 60 minutes;17,75;11;10,75;14,75;13,75;13,5;0;15,5;15,75
85;STL;SpS;0;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;S;SV;0;De 16 à 30 minutes;15;19,75;17;19,5;18,5;18,5;19;13,75;13,5
87;S;SV;1;De 16 à 30 minutes;14;14,25;14,5;12,25;12;14;13;11,25;13,25
88;S;SV;1;Moins de 15 minutes;9,5;17,25;16,75;11;11,25;10,75;6,75;7,5;6
89;S;SpS;0;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;ST2S;SpS;1;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;S;SVT;1;Moins de 15 minutes;9,5;8,75;8,75;7,25;7,5;9,25;0;10,5;11
92;S;SV;0;De 31 à 60 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;S;SVT;0;De 16 à 30 minutes;13;13,25;12;16;14,75;15,5;0,75;12,5;14,25
94;S;SVT;0;De 31 à 60 minutes;17,25;10,75;9,5;13,5;12,25;12,75;20;16,25;15
95;S;SpS;0;Moins de 15 minutes;11,5;11,5;10;4,75;7,25;9,5;2,5;11,75;10,5
96;S;SV;1;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;S;SpS;0;De 31 à 60 minutes;10,25;10,25;7,75;12,25;6;10,5;4;7,5;6,75
98;S;SV;1;De 31 à 60 minutes;14,75;10;10,5;4,25;5;5,75;19,5;13,25;10,75
99;S;SpS;0;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;S;SV;0;De 31 à 60 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;S;SV;1;Moins de 15 minutes;15,5;12,5;11,25;9,5;7,5;9,75;18;13;11,75
102;S;SV;1;De 31 à 60 minutes;10;12;12,25;9;8,25;10;6;9,25;6,75
103;S;SVT;1;De 16 à 30 minutes;17,25;9,75;11,75;7,75;6,75;9,5;20;14,75;11,75
104;S;SVT;1;De 31 à 60 minutes;15;9,75;7,75;11;11,5;12;14,25;12,75;13
105;S;SpS;1;De 16 à 30 minutes;16;13;13;2,75;11,75;4;0;16;12,5
106;S;SV;0;De 16 à 30 minutes;16,75;11;11;14,5;14,5;13,5;8,75;15;12,75
107;S;SV;0;Moins de 15 minutes;15,5;15;15;11,25;11;12;8;14;12,75
108;S;SVT;0;De 31 à 60 minutes;8,25;15,5;10,75;12;11,5;12,25;0;10,5;10,25
109;S;SpS;0;De 16 à 30 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
110;S;SV;0;De 16 à 30 minutes;16,5;14;12,5;13;12,5;13,5;13,75;14,25;13,25
111;S;SV;0;Moins de 15 minutes;13,5;12,25;12,25;14;14,5;13,5;19;11,75;10,25
112;S;SpS;0;Moins de 15 minutes;NA;NA;NA;NA;NA;NA;NA;NA;NA
113;S;SpS;1;De 31 à 60 minutes;7,5;12;11;15,75;12,5;16,75;10;10,5;9
114;S;SVT;0;Plus de 61 minutes;17,75;8;5,25;15,5;14,5;15,75;8;16,25;15,75
115;ST2S;SpS;0;De 31 à 60 minutes;9;11;11;7,5;6;14,5;0;9,25;10
116;S;SVT;0;Moins de 15 minutes;13,75;12,25;10;6,5;7;7,25;0;13,5;12,5
117;S;SpS;0;Moins de 15 minutes;13;13;13,5;14;3,25;9,5;11,75;11,5;9,25
118;S;SpS;0;De 31 à 60 minutes;12,75;13,25;12,75;18;8,75;1,5;4;11,75;8,5
119;S;SVT;1;De 16 à 30 minutes;13,75;9,25;7;14,75;13,5;12,75;9;14;12,75
